time,seconds_elapsed,z,y,x
1713313090516831000,9.9868310546875,-15.385022163391113,8.37015151977539,-15.734143257141113
1713313090526366000,9.996365966796875,-22.982370376586914,9.955608367919922,-29.343502044677734
1713313090535901000,10.00590087890625,-11.533709526062012,11.686975479125977,-32.35486602783203
1713313090545436000,10.015435791015625,0.30973947048187256,9.631587028503418,-25.83428955078125
1713313090554971000,10.024970947265626,3.808563709259033,5.659417629241943,-18.673036575317383
1713313090564505900,10.034505859375,1.8975908756256104,4.093722820281982,-11.794411659240723
1713313090574040800,10.044040771484376,0.9298519492149353,4.239840507507324,-7.670966148376465
1713313090583575800,10.053575927734375,-1.0826499462127686,4.23789119720459,-4.209062576293945
1713313090593110800,10.06311083984375,-3.7099480628967285,3.5941905975341797,-1.0899419784545898
1713313090602645800,10.072645751953125,-5.844095230102539,3.7176356315612793,1.2573394775390625
1713313090612180700,10.0821806640625,-7.007715702056885,3.921769618988037,2.3984317779541016
1713313090621716000,10.091716064453125,-6.25054931640625,3.75960636138916,3.24392032623291
1713313090631251000,10.1012509765625,-4.247835159301758,3.0514073371887207,3.753880500793457
1713313090640785700,10.11078564453125,-1.920039176940918,2.297820568084717,4.278756618499756
1713313090650320600,10.120320556640625,0.14378762245178223,1.1905169486999512,4.74807071685791
1713313090659856000,10.12985595703125,0.8157325983047485,-0.19215726852416992,5.811985015869141
1713313090669390800,10.139390869140625,0.9126702547073364,-1.8156523704528809,7.347668170928955
1713313090678925800,10.14892578125,0.7199289798736572,-3.6664068698883057,8.466848373413086
1713313090688460800,10.158460693359375,1.3697926998138428,-5.594341278076172,9.640300750732422
1713313090697995800,10.167995849609374,2.8685057163238525,-7.297701835632324,11.064456939697266
1713313090707530800,10.17753076171875,4.367849349975586,-8.815841674804688,12.243101119995117
1713313090717065700,10.187065673828124,5.512520790100098,-9.982426643371582,13.047456741333008
1713313090726600700,10.1966005859375,5.816118240356445,-10.557536125183105,13.038291931152344
1713313090736135700,10.2061357421875,5.421967029571533,-10.464065551757812,11.99514389038086
1713313090745670700,10.215670654296876,4.511724948883057,-9.681431770324707,10.770536422729492
1713313090755205600,10.22520556640625,3.316898822784424,-8.825239181518555,9.273681640625
1713313090764740900,10.234740966796876,2.607677936553955,-8.172609329223633,8.781827926635742
1713313090774275600,10.244275634765625,2.0835838317871094,-7.6019721031188965,8.631756782531738
1713313090783810600,10.253810546875,1.5296852588653564,-7.272821426391602,7.982515335083008
1713313090793345500,10.263345458984375,0.3333907127380371,-7.035634994506836,7.582925319671631
1713313090802880800,10.272880859375,-0.7369241714477539,-6.270470142364502,6.731813430786133
1713313090812415700,10.282415771484375,-1.4933041334152222,-5.1201019287109375,5.143035888671875
1713313090821950700,10.29195068359375,-2.5501506328582764,-3.594066619873047,2.9462151527404785
1713313090831485700,10.301485595703125,-3.874422073364258,-1.5261917114257812,0.6577954292297363
1713313090841020700,10.311020751953125,-2.8353238105773926,-0.904879093170166,-1.1401691436767578
1713313090850555600,10.3205556640625,1.0808535814285278,-2.1094913482666016,-4.27046537399292
1713313090860090600,10.330090576171875,0.8744856119155884,6.9991455078125,-9.659059524536133
1713313090869625600,10.33962548828125,10.911076545715332,11.051004409790039,-13.924779891967773
1713313090879160600,10.34916064453125,19.158405303955078,8.713876724243164,-16.890647888183594
1713313090888695600,10.358695556640624,25.0949649810791,11.117023468017578,-21.662918090820312
1713313090898230500,10.36823046875,13.915632247924805,12.235158920288086,-32.45305633544922
1713313090907765500,10.377765625,0.8848901987075806,14.142217636108398,-31.920639038085938
1713313090917300500,10.387300537109375,-8.752450942993164,13.757728576660156,-28.689035415649414
1713313090926835500,10.39683544921875,-18.2856502532959,8.110986709594727,-23.12771224975586
1713313090936370400,10.406370361328126,-24.353839874267578,2.792323589324951,-10.852078437805176
1713313090945905700,10.41590576171875,-19.7211856842041,-1.0468173027038574,-4.418828010559082
1713313090955440600,10.425440673828126,-11.661700248718262,-2.362337112426758,0.06686115264892578
1713313090964975600,10.4349755859375,-3.1347403526306152,-2.811805009841919,1.8357229232788086
1713313090974510600,10.444510498046874,1.4186594486236572,-2.6045007705688477,4.172446250915527
1713313090984045600,10.454045654296875,2.1904730796813965,-1.6207289695739746,5.949087619781494
1713313090993580500,10.46358056640625,1.962104082107544,-0.39516162872314453,6.478652477264404
1713313091003115500,10.473115478515625,4.227624416351318,0.5161571502685547,5.281556606292725
1713313091012650500,10.482650390625,5.747522830963135,1.1764750480651855,3.6217150688171387
1713313091022185500,10.492185546875,4.389810562133789,1.9969868659973145,2.303534507751465
1713313091031720400,10.501720458984375,0.7432056069374084,2.4198803901672363,1.9118313789367676
1713313091041255400,10.51125537109375,-2.5177907943725586,1.3180828094482422,2.043020725250244
1713313091050790400,10.520790283203125,-3.158862590789795,-0.255948543548584,1.9802742004394531
1713313091060325400,10.530325439453126,-2.3179025650024414,-1.849848747253418,3.2183761596679688
1713313091069860400,10.5398603515625,-1.6769723892211914,-3.9178895950317383,4.656293869018555
