seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
7.6,1.366745259,-2.336429379,4.328974811,,1.817239988,1.447222655469721,-3.647096742,1.817239987579259,1.447222655469721,-3.647096742
7.7,0.345150477,-8.226453686,7.314400625,,-0.350787783,-3.160918736,-1.034058297,-0.350787783,-3.160918736,-1.034058297
7.8,-1.48080945,1.562477459,-8.489907828,,-3.49330353,7.628862478516319,-19.75188076,-3.49330353,7.628862478516319,-19.75188076
7.9,-1.767448461,4.98833766,-4.035381889,19,-3.706601959,8.448339033126832,-8.940542564,-3.706601959,8.448339033126832,-8.940542564
8,4.434412046,-5.202507886,11.47027891,,2.461855558,-0.483230554,3.6423546195030214,2.461855557560921,-0.483230554,3.6423546195030214
8.1,0.257514,-1.117259884,1.940133619,,0.252660337,4.796630490909923,-7.727076894,0.25266033681956207,4.796630490909923,-7.727076894
8.2,-0.07590276,7.875130437,-14.04880515,,-3.690091366,12.152188777923584,-22.19809608,-3.690091366,12.152188777923584,-22.19809608
8.3,1.467879778,-2.41029768,5.497729969,20,0.873706553,1.547503650188446,-3.193765619,0.8737065534700047,1.547503650188446,-3.193765619
8.4,1.274315796,-8.715041941,6.041617263,,-0.102412796,-4.019343853,-2.170050871,-0.102412796,-4.019343853,-2.170050871
8.5,-0.329212451,5.0062819,-10.14049873,,-2.041730439,9.453933807936581,-19.31725749,-2.041730439,9.453933807936581,-19.31725749
8.6,-2.089705684,3.791534684,-1.956253962,21,-5.197689259,7.9085181713104244,-8.567023003,-5.197689259,7.9085181713104244,-8.567023003
8.7,6.135161757,-6.402559614,9.207943344,,2.87530264,-1.335847597,1.2506849088452079,2.875302639874545,-1.335847597,1.2506849088452079
8.8,2.132770441,-1.434773142,-3.041993141,,0.389551467,4.077250295877457,-11.91601732,0.3895514667034149,4.077250295877457,-11.91601732
8.9,-5.106399006,7.672502995,-6.097306919,,-5.676754166,12.173920371315695,-14.30679529,-5.676754166,12.173920371315695,-14.30679529
9,1.25289737,1.029364538,2.671121645,22,1.348834154,3.769174212217331,-5.336233854,1.348834154009819,3.769174212217331,-5.336233854
9.1,0.532866137,-8.865992893,5.649963162,,-0.192078404,-4.317739682,-2.902385126,-0.192078404,-4.317739682,-2.902385126
9.2,-1.310451233,1.998662066,-8.451284933,,-2.170050883,7.830512183904648,-19.56886253,-2.170050883,7.830512183904648,-19.56886253
9.3,-1.673443057,3.775164106,-3.090545004,23,-3.676898317,7.222300161014903,-9.233249859,-3.676898317,7.222300161014903,-9.233249859
9.4,3.70146035,-6.596660185,10.93847699,,2.481955326,-1.926222256,3.1306494772434235,2.481955325603485,-1.926222256,3.1306494772434235
9.5,1.164800156,-1.502030849,0.721612714,,1.198042788,4.689823605797508,-9.774463019,1.198042788,4.689823605797508,-9.774463019
9.6,-4.338954365,6.561064196,-12.76338758,24,-6.487779641,11.286585474014283,-19.16758585,-6.487779641,11.286585474014283,-19.16758585
9.7,1.102757085,-1.671219522,4.439468124,,0.837161634,2.0350956212390554,-3.50918312,0.8371616339057006,2.0350956212390554,-3.50918312
9.8,0.777649136,-6.910474539,7.852091885,,0.405583432,-1.862333873,-0.699182779,0.40558343231678007,-1.862333873,-0.699182779
9.9,0.193821593,0.449609453,-4.52748498,,-2.194218252,6.539257916537198,-16.19179611,-2.194218252,6.539257916537198,-16.19179611
10,-2.848292178,5.454263687,-9.472688293,25,-3.337030508,9.254600573,-14.43877039,-3.337030508,9.254600573,-14.43877039
10.1,1.48718472,-3.762029019,8.494619716,,0.751237554,0.35881458493796264,1.2572107965295964,0.7512375536290082,0.35881458493796264,1.2572107965295964
10.2,1.50245496,-7.403841305,7.983945179,,-0.428674191,-1.012283626,-0.735553728,-0.428674191,-1.012283626,-0.735553728
10.3,3.470223763,7.4169618,-16.64369887,,-0.076678905,12.878932822834361,-25.61114199,-0.076678905,12.878932822834361,-25.61114199
10.4,-3.893527174,-0.435940814,1.443867016,26,-2.198405826,4.305764675140381,-5.821857119,-2.198405826,4.305764675140381,-5.821857119
10.5,0.434732253,-3.551559015,6.102118319,,-0.057210207,0.36327398907054553,-1.747521872,-0.057210207,0.36327398907054553,-1.747521872
10.6,1.598060691,-5.223009348,6.018380642,,-0.322193557,-0.232941283,-2.939582592,-0.322193557,-0.232941283,-2.939582592
10.7,-0.649390264,4.217062387,-16.14421186,,-1.503127694,8.951984314078635,-24.3275013,-1.503127694,8.951984314078635,-24.3275013
10.8,-2.637635851,-1.427220058,4.827292776,27,-4.616233385,4.332564301602543,-2.624088952,-4.616233385,4.332564301602543,-2.624088952
10.9,2.130913789,-4.081391465,8.751882553,,1.275918302,1.1064629432829944,1.6456093855879523,1.2759183022108944,1.1064629432829944,1.6456093855879523
11,6.478226912,-0.664994788,-7.435234833,,5.210251653,7.046144792437554,-18.74070668,5.210251653194428,7.046144792437554,-18.74070668
11.1,-5.567008018,-0.242276799,-9.307407206,28,-7.72044223,4.113697138699618,-14.17627769,-7.72044223,4.113697138699618,-14.17627769
11.2,0.120214772,1.84603467,1.482887888,,-1.278245863,6.673701954,-6.874459791,-1.278245863,6.673701954,-6.874459791
11.3,2.737785437,-2.65085578,6.219314488,,1.299302697,2.0684864439747552,-1.5137866,1.2993026971817017,2.0684864439747552,-1.5137866
11.4,2.688602996,-3.957875729,-2.951661587,,-0.599641287,3.1028927683830263,-14.34521091,-0.599641287,3.1028927683830263,-14.34521091
11.5,-1.097121152,0.113834099,-8.588235248,29,-1.419487623,4.594763307408853,-13.58818717,-1.419487623,4.594763307408853,-13.58818717
11.6,-3.097517979,-0.783856678,1.237776709,,-3.843232083,4.612285232543945,-6.730292225,-3.843232083,4.612285232543945,-6.730292225
11.7,0.198550148,-2.01250254,5.096897385,,-1.60199475,3.440770149230957,-2.075338587,-1.60199475,3.440770149230957,-2.075338587
11.8,0.316392612,-3.047570801,5.359398699,,-0.766660362,2.7960132360458374,-3.122633529,-0.766660362,2.7960132360458374,-3.122633529
11.9,5.335030892,2.978363666,-12.8498181,30,2.724772399,8.617859536951238,-21.53159679,2.724772399122065,8.617859536951238,-21.53159679
12,-0.19865154,-1.139449525,-2.68670702,,-1.781695727,3.482992649078369,-9.453802824,-1.781695727,3.482992649078369,-9.453802824
12.1,-2.422246031,0.371430224,3.017325141,,-3.005863833,5.292804098129272,-5.438766217,-3.005863833,5.292804098129272,-5.438766217
12.2,-5.434592378,3.871162653,4.75458746,,-3.889859546,8.250452388416637,-4.18635195,-3.889859546,8.250452388416637,-4.18635195
12.3,7.715850353,1.353411013,-1.376932318,,11.86373425,5.058546763658524,-9.631350422,11.863734245300293,5.058546763658524,-9.631350422
12.4,2.654981995,-5.178926349,-0.289886189,31,9.844725002,-1.819197809,-6.127801332,9.844725001942027,-1.819197809,-6.127801332
12.5,-1.942515503,-2.766333981,-2.789578893,,6.837371063,-0.190947251,-5.271148944,6.837371063232422,-0.190947251,-5.271148944
12.6,-1.557098579,-0.654964072,-2.100617576,,8.271226536,0.7407961552116004,-3.276535544,8.271226536,0.7407961552116004,-3.276535544
12.7,-0.357293823,0.258256305,-1.516277974,,9.105647373,0.9101100981235504,-2.431825674,9.105647373199464,0.9101100981235504,-2.431825674
12.8,0.615929985,-0.024180123,-1.460177457,32,10.24019311,0.3196593495932492,-2.300916466,10.240193106911399,0.3196593495932492,-2.300916466
12.9,0.600413496,0.216838087,-0.977934816,,10.38102179,0.2758924501016736,-1.63776747,10.381021785736085,0.2758924501016736,-1.63776747
13,0.249303246,0.022354825,-0.476536751,,10.0402839,0.16477846760641446,-1.40262911,10.04028389670632,0.16477846760641446,-1.40262911
